rhetorical_section,Application,Background,Basis,Comparison,Evidence,Further_Reading,Gap,Identification_of_the_Originator,Modification_Improvement
Conclusion,0.205,0.0,0.077,0.282,0.077,0.026,0.051,0.154,0.128
Cuerpo (sin seccion fina),0.082,0.144,0.123,0.108,0.059,0.142,0.129,0.076,0.136
Desconocida,0.133,0.051,0.062,0.056,0.303,0.077,0.092,0.174,0.051
Discusion,0.003,0.013,0.065,0.261,0.463,0.02,0.107,0.06,0.007
Experimentos,0.342,0.004,0.12,0.201,0.098,0.017,0.026,0.141,0.051
Introduccion,0.02,0.078,0.085,0.035,0.261,0.047,0.129,0.306,0.04
Metodos,0.555,0.002,0.05,0.031,0.069,0.019,0.022,0.178,0.074
Otra,0.166,0.03,0.121,0.097,0.188,0.048,0.062,0.218,0.07
Resultados,0.082,0.02,0.046,0.082,0.574,0.016,0.023,0.118,0.039
Trabajo relacionado,0.014,0.037,0.117,0.083,0.029,0.095,0.109,0.427,0.089
