loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.0042,4.965311527252197,1.6574585635359117e-05,0.33185840707964603,150,,,,,,,,,,,
,,,0.33185840707964603,150,1.5908825397491455,0.43382827630729504,0.3748766982946003,43.2603,71.613,1.133,,,,,
1.3669,10.750913619995117,1.8537185003073142e-05,0.6637168141592921,300,,,,,,,,,,,
,,,0.6637168141592921,300,1.1988288164138794,0.5894125242091672,0.5698412545984701,43.2217,71.677,1.134,,,,,
1.1457,8.951091766357422,1.6693300553165337e-05,0.995575221238938,450,,,,,,,,,,,
,,,0.995575221238938,450,1.1319199800491333,0.6032924467398322,0.5976908452538134,42.271,73.289,1.159,,,,,
0.9585,7.090290546417236,1.484941610325753e-05,1.3274336283185841,600,,,,,,,,,,,
,,,1.3274336283185841,600,1.09415602684021,0.6268560361523564,0.6183051074687289,42.3012,73.237,1.158,,,,,
0.9226,11.191457748413086,1.3005531653349725e-05,1.6592920353982301,750,,,,,,,,,,,
,,,1.6592920353982301,750,1.0734803676605225,0.6329890251775339,0.6249888134008256,42.1436,73.51,1.163,,,,,
0.9143,10.981236457824707,1.1161647203441918e-05,1.991150442477876,900,,,,,,,,,,,
,,,1.991150442477876,900,1.0586098432540894,0.6400903808908973,0.6370396082109264,42.979,72.082,1.14,,,,,
0.6943,9.660866737365723,9.317762753534113e-06,2.3230088495575223,1050,,,,,,,,,,,
,,,2.3230088495575223,1050,1.112732172012329,0.6378308586184636,0.6316612947798063,43.0987,71.882,1.137,,,,,
0.6706,11.263998985290527,7.473878303626307e-06,2.6548672566371683,1200,,,,,,,,,,,
,,,2.6548672566371683,1200,1.0968748331069946,0.6371852808263396,0.6341753390856513,42.8883,72.234,1.143,,,,,
,,,2.6548672566371683,1200,,,,,,,2893.5382,19.991,0.625,2422052995374342.0,1.0846495246887207
